Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
1,1949,39,84,70,61,61.7,78.8,70.2,0.11,0,0.06,0
2,1949,57,87,72,77,65.2,81.7,73.4,0.37,0,0.36,0
3,1949,50,85,74,74,61.4,80.3,70.8,7.22,0,7.07,0
4,1949,54,89,76,76,67.9,83.7,75.8,5.72,0,1.69,0
5,1949,62,94,74,80,69,86.1,77.5,6.07,0,1.71,0
6,1949,69,92,77,80,72.6,88,80.3,10.37,0,2.42,0
7,1949,72,92,79,86,75.2,89.4,82.3,3.96,0,0.67,0
8,1949,73,93,78,84,74.9,89.2,82,7.57,0,2.57,0
9,1949,70,95,80,81,74.6,88.5,81.6,9.07,0,1.87,0
10,1949,68,88,79,80,72.7,85.3,79,7.15,0,1.87,0
11,1949,42,85,73,62,60.1,77.2,68.7,1.23,0,1.02,0
12,1949,55,81,74,76,65.3,78.3,71.8,3.3,0,0.69,0
1,1950,61,80,73,75,67.3,78.9,73.1,0.5,0,0.42,0
2,1950,46,85,72,72,61,78.8,69.9,1.85,0,1.03,0
3,1950,44,89,76,73,62.6,80.6,71.6,0.63,0,0.36,0
4,1950,42,87,72,68,60.9,79.9,70.4,2.57,0,2.36,0
5,1950,62,91,76,83,70.8,85.7,78.2,3.27,0,1.33,0
6,1950,68,93,79,86,73.9,89.4,81.6,3.82,0,1.68,0
7,1950,69,94,79,84,74.3,88.5,81.4,7.99,0,1.53,0
8,1950,68,93,81,83,74.5,88.9,81.7,8.65,0,2.34,0
9,1950,70,92,78,82,73.7,88.3,81,3.85,0,0.91,0
10,1950,66,89,77,80,72,85.7,78.9,12.48,0,3.49,0
11,1950,39,84,71,63,60.1,77.9,69,2.66,0,1.66,0
12,1950,40,81,69,63,55.6,74.7,65.1,1.2,0,0.53,0
1,1951,36,80,70,63,55.7,74.6,65.2,0.04,0,0.03,0
2,1951,39,83,71,56,55.7,74.5,65.1,2.09,0,0.95,0
3,1951,47,85,72,73,61.9,79,70.5,0.47,0,0.28,0
4,1951,49,89,74,67,65.3,81.3,73.3,4.42,0,2.24,0
5,1951,59,94,78,80,67.9,87.5,77.7,1.66,0,0.71,0
6,1951,65,94,75,84,72.1,89.9,81,5.08,0,2.33,0
7,1951,71,92,78,84,74.3,89.3,81.8,8.64,0,2.78,0
8,1951,72,95,81,88,75.7,91.5,83.6,5.13,0,1.45,0
9,1951,73,93,82,86,76.1,90.3,83.2,2.63,0,0.6,0
10,1951,65,90,75,79,70.9,85.1,78,6.54,0,2.95,0
11,1951,44,87,72,64,62.6,79.3,71,0.54,0,0.16,0
12,1951,47,83,74,68,65.6,79.3,72.5,1.06,0,0.65,0
1,1952,43,84,71,67,60.7,77.6,69.2,0.59,0,0.39,0
2,1952,47,87,72,67,58.3,77.7,68,2.3,0,0.99,0
3,1952,45,90,75,74,66.5,82.5,74.5,2.01,0,0.58,0
4,1952,49,89,74,72,64.3,81.6,72.9,1.44,0,1.36,0
5,1952,61,90,79,79,71.3,86.5,78.9,0.68,0,0.34,0
6,1952,69,95,81,86,74.8,91,82.9,2.05,0,0.95,0
7,1952,72,96,81,85,76.2,90.6,83.4,7.14,0,4.51,0
8,1952,72,95,79,84,75,91.5,83.3,4.93,0,1.02,0
9,1952,71,94,81,83,75.8,89.9,82.9,4.48,0,1.9,0
10,1952,59,90,75,76,72.1,84.3,78.2,21.08,0,7.88,0
11,1952,50,87,75,67,65.9,80.6,73.2,0.25,0,0.15,0
12,1952,42,83,69,62,57.4,75.8,66.6,1.99,0,1.46,0
1,1953,45,85,71,60,60.3,74.9,67.6,6.08,0,1.85,0
2,1953,48,84,73,73,63.5,78.8,71.2,1.63,0,0.75,0
3,1953,49,88,73,76,66.5,82.9,74.7,0.81,0,0.51,0
4,1953,53,90,77,74,67.8,83.6,75.7,4.17,0,1.95,0
5,1953,64,91,79,83,73.6,87.3,80.5,3.15,0,1.16,0
6,1953,69,94,79,82,74.3,88.2,81.3,5.4,0,1.02,0
7,1953,70,93,81,83,75,89.9,82.5,6.66,0,1.97,0
8,1953,73,94,81,86,76.5,90.5,83.5,9.07,0,2.97,0
9,1953,71,91,81,83,75.4,88.5,81.9,13.1,0,2.43,0
10,1953,56,88,74,71,69.4,82.6,76,10.26,0,2.54,0
11,1953,46,84,73,69,65.5,79.3,72.4,2.44,0,1.36,0
12,1953,44,83,75,63,62.2,76.8,69.5,2.38,0,1.4,0
1,1954,44,85,73,64,61,77.1,69,0.49,0,0.31,0
2,1954,50,83,72,68,59.1,76.6,67.9,2.18,0,1.98,0
3,1954,46,89,74,65,61,78,69.5,1.96,0,0.66,0
4,1954,60,88,77,79,69.5,84,76.8,5.45,0,1.44,0
5,1954,65,92,77,80,71.7,86.7,79.2,13.43,0,3.94,0
6,1954,71,92,77,80,74.1,88.2,81.1,10.14,0,1.7,0
7,1954,71,94,81,81,76.1,89.7,82.9,9.21,0,3.12,0
8,1954,73,98,80,85,77,92.7,84.9,1.65,0,0.62,0
9,1954,73,95,80,82,75.9,88.9,82.4,8.28,0,1.86,0
10,1954,58,91,77,75,70.3,84,77.2,4.24,0,1.98,0
11,1954,53,85,72,70,62.4,79.2,70.8,4.77,0,4.15,0
12,1954,41,80,70,58,54.9,73.5,64.2,0.46,0,0.25,0
1,1955,41,83,65,59,54.6,75.2,64.9,0.71,0,0.33,0
2,1955,40,83,70,58,59.7,75.6,67.6,0.76,0,0.33,0
3,1955,49,88,72,67,62.6,80.1,71.4,0.23,0,0.09,0
4,1955,58,89,74,78,67.3,83.8,75.6,1.36,0,0.83,0
5,1955,58,92,79,82,69.3,86.6,78,3.74,0,1.54,0
6,1955,68,93,80,82,73,87.5,80.3,9.69,0,3.72,0
7,1955,71,93,79,79,74.4,87.6,81,7.89,0,1.78,0
8,1955,72,96,79,85,75.4,90.9,83.1,4.27,0,1.25,0
9,1955,72,92,79,85,75.2,89,82.1,5.52,0,1.64,0
10,1955,59,89,78,75,69.5,84.6,77,4.36,0,1.92,0
11,1955,47,84,73,73,63.9,81.2,72.5,0.98,0,0.75,0
12,1955,46,85,73,70,61,77.7,69.4,1.84,0,0.71,0
1,1956,39,81,68,60,53.2,72.2,62.7,1.74,0,1.31,0
2,1956,50,89,71,71,63.8,78.1,71,0.91,0,0.47,0
3,1956,42,88,74,69,60.6,79.9,70.3,0.02,0,0.01,0
4,1956,53,93,76,72,66,81.8,73.9,2.28,0,1.83,0
5,1956,67,94,78,84,72.4,86.2,79.3,5.44,0,1.55,0
6,1956,67,92,79,86,72.8,88.5,80.7,3.93,0,1.32,0
7,1956,71,93,81,86,75.7,89.7,82.7,2.34,0,0.71,0
8,1956,71,97,82,89,75.4,92.1,83.7,4.64,0,1.31,0
9,1956,69,92,79,83,73.8,87.5,80.6,9.59,0,3.42,0
10,1956,65,90,76,78,70.8,85.6,78.2,5.56,0,1.5,0
11,1956,42,87,74,62,60.3,79.2,69.8,0.34,0,0.12,0
12,1956,42,84,73,68,60.7,78,69.4,0.26,0,0.2,0
1,1957,47,83,73,64,60.9,79.2,70,0.08,0,0.04,0
2,1957,51,86,74,76,64.8,80.6,72.7,4.68,0,2.06,0
3,1957,46,89,74,69,61.3,79.7,70.5,2.68,0,1.02,0
4,1957,63,89,76,78,70.2,82.2,76.2,5.04,0,1.39,0
5,1957,66,89,79,79,72.1,84.9,78.5,10.11,0,7.02,0
6,1957,68,94,81,84,74.2,88.2,81.2,5.82,0,1.67,0
7,1957,71,93,76,86,74.3,89.1,81.7,9.54,0,2.66,0
8,1957,71,93,79,83,74.3,89,81.6,16.58,0,3.16,0
9,1957,71,91,78,83,75.1,87.7,81.4,3.32,0,0.48,0
10,1957,54,88,74,70,69.1,83.6,76.4,7.64,0,2.23,0
11,1957,54,87,76,76,67.7,82.2,74.9,2.54,0,1.74,0
12,1957,35,79,70,51,57.6,73.5,65.5,2.84,0,1.31,0
1,1958,39,79,68,55,53.8,68.9,61.3,5.67,0,1.69,0
2,1958,35,88,70,55,50.4,68.3,59.3,1.54,0,0.95,0
3,1958,47,86,73,66,62.3,77.4,69.8,5.16,0,2.69,0
4,1958,58,89,75,74,66.6,82.3,74.5,0.85,0,0.46,0
5,1958,58,88,76,78,71.2,83.3,77.2,18.14,0,6.37,0
6,1958,72,94,79,84,75.1,88.3,81.7,6.54,0,1.72,0
7,1958,73,92,80,84,76.6,88.3,82.5,6.58,0,1.65,0
8,1958,73,96,79,81,75.7,91.2,83.5,8.4,0,1.81,0
9,1958,72,93,82,82,75.7,89.1,82.4,4.82,0,1.87,0
10,1958,58,90,78,78,69.9,84.5,77.2,4.15,0,1.76,0
11,1958,62,89,75,76,70,83.3,76.6,3.68,0,1.98,0
12,1958,47,83,73,61,61.4,76.5,68.9,6.39,0,1.72,0
1,1959,40,84,72,56,58.3,74.5,66.4,2.21,0,1.19,0
2,1959,58,87,74,75,68,81.8,74.9,2.32,0,0.73,0
3,1959,47,87,72,68,63.4,79.1,71.3,4.85,0,1.59,0
4,1959,56,91,74,70,67.6,82.3,75,2,0,1.15,0
5,1959,63,89,77,78,71.9,83.7,77.8,6.16,0,1.93,0
6,1959,70,93,78,82,73.4,87.1,80.2,20.56,0,5.95,0
7,1959,72,91,78,79,74.5,86.8,80.6,8.2,0,1.84,0
8,1959,70,91,77,83,74.5,87.4,81,8.18,0,2.46,0
9,1959,71,90,77,82,73.8,87.4,80.6,12.98,0,3.45,0
10,1959,63,90,79,79,74.5,86.2,80.4,7.62,0,2.45,0
11,1959,42,87,74,58,67.2,80.4,73.8,13.15,0,6.78,0
12,1959,48,81,71,64,59.6,74.6,67.1,1.1,0,0.45,0
1,1960,34,85,72,58,58,75.3,66.6,0.19,0,0.12,0
2,1960,43,85,74,61,58.9,75.9,67.4,2.2,0,1.02,0
3,1960,44,86,74,63,58.4,76.8,67.6,0.67,0,0.36,0
4,1960,55,88,76,74,67.7,81.1,74.4,10.21,0,4.85,0
5,1960,58,90,75,79,69.2,84.7,76.9,3.46,0,0.77,0
6,1960,71,90,79,83,75.1,87,81,6.31,0,1.66,0
7,1960,73,93,82,87,77.1,90.3,83.7,5.27,0,1.37,0
8,1960,74,91,81,83,77.2,89.4,83.3,4.15,0,0.87,0
9,1960,73,91,79,81,76,87.4,81.7,24.4,0,6.07,0
10,1960,69,89,77,81,72.9,86.1,79.5,10.54,0,2.34,0
11,1960,57,85,73,75,67.8,81.5,74.7,2.36,0,1.55,0
12,1960,39,81,71,59,56.8,74.2,65.5,0.5,0,0.26,0
1,1961,39,82,69,61,57,72.8,64.9,5.12,0,1.41,0
2,1961,48,87,74,63,62.5,76.7,69.6,0.63,0,0.25,0
3,1961,48,87,74,65,66.6,80.9,73.8,1.91,0,1.48,0
4,1961,51,91,75,76,65.2,83,74.1,0.56,0,0.37,0
5,1961,62,90,75,77,71,84.9,77.9,6.81,0,2.9,0
6,1961,70,92,81,80,74.9,87.2,81.1,10.48,0,2.75,0
7,1961,74,92,81,87,77.7,89.3,83.5,1.91,0,0.39,0
8,1961,71,93,82,87,76.7,90.1,83.4,4.68,0,1.4,0
9,1961,71,92,81,85,75,89,82,3.4,0,1.17,0
10,1961,57,91,77,77,70.4,84.9,77.6,3.92,0,1.52,0
11,1961,56,84,76,73,66.4,80.8,73.6,2.15,0,0.85,0
12,1961,39,86,73,60,60.7,77.1,68.9,0.13,0,0.06,0
1,1962,38,82,72,63,59.8,76.4,68.1,1.46,0,0.5,0
2,1962,48,88,73,72,61.9,80.9,71.4,0.13,0,0.07,0
3,1962,42,89,73,64,61,79.3,70.2,2.78,0,0.91,0
4,1962,53,87,75,70,65.7,80.4,73.1,1.19,0,0.46,0
5,1962,59,92,76,77,68.5,85.4,77,0.92,0,0.45,0
6,1962,69,91,78,78,73.5,86.5,80,10.36,0,2.4,0
7,1962,73,93,82,87,76.4,90.2,83.3,3.74,0,1.4,0
8,1962,73,93,81,83,76.4,89.4,82.9,8.02,0,2.08,0
9,1962,71,91,80,80,74.4,87.7,81,7.82,0,1.9,0
10,1962,62,90,77,77,70,85,77.5,1.5,0,0.35,0
11,1962,45,83,72,61,60.2,75.9,68,4.15,0,3.57,0
12,1962,35,82,72,55,54.9,72.5,63.7,0.2,0,0.06,0
1,1963,44,85,69,64,58.8,75.4,67.1,0.65,0,0.25,0
2,1963,47,85,69,63,57.8,73.8,65.8,3.45,0,1.52,0
3,1963,52,88,73,71,66.2,80.6,73.4,0.73,0,0.5,0
4,1963,51,92,75,77,66.7,82.7,74.7,0.33,0,0.2,0
5,1963,55,87,77,76,69.9,84,77,6.34,0,2.75,0
6,1963,69,90,80,83,74.2,87,80.6,6.8,0,1.05,0
7,1963,72,95,80,87,76.3,89.8,83,1.77,0,0.55,0
8,1963,72,93,80,87,76,89.9,83,4.77,0,1.05,0
9,1963,70,91,80,78,75.1,87.5,81.3,11.12,0,3.74,0
10,1963,61,86,78,77,69.2,83.1,76.2,4.43,0,1.13,0
11,1963,45,84,73,64,64.2,78.2,71.2,1.43,0,0.58,0
12,1963,43,85,68,62,54.5,72.5,63.5,4.26,0,2.17,0
1,1964,36,85,71,50,60.7,74.1,67.4,0.45,0,0.42,0
2,1964,43,87,70,64,56.8,74.6,65.7,2.21,0,0.93,0
3,1964,53,90,75,71,68.1,81,74.6,0.5,0,0.34,0
4,1964,55,89,77,75,71.4,82.8,77.1,3.31,0,1.06,0
5,1964,65,90,76,80,71.5,83.7,77.6,4.67,0,2.08,0
6,1964,70,91,80,80,75.3,87,81.2,10.48,0,3.02,0
7,1964,73,92,80,84,76.9,88.7,82.8,5.51,0,1.13,0
8,1964,74,93,82,85,77.5,89.7,83.6,9.84,0,6.41,0
9,1964,73,92,80,85,76.2,88.4,82.3,4.22,0,1.15,0
10,1964,59,89,81,78,70.7,83.1,76.9,9.77,0,3.3,0
11,1964,58,83,75,76,69,80.8,74.9,3,0,1.42,0
12,1964,49,83,76,72,66.5,77.9,72.2,6.24,0,4.38,0
1,1965,35,84,70,57,57.9,76.1,67,1.98,0,0.95,0
2,1965,41,85,72,62,63.1,78.6,70.9,2.98,0,1.22,0
3,1965,46,89,76,68,65.5,80.7,73.1,3.97,0,1.6,0
4,1965,59,93,75,80,68.2,85.1,76.7,1.2,0,1.09,0
5,1965,61,92,78,80,71.8,85.1,78.4,0.44,0,0.23,0
6,1965,69,90,81,81,74.6,86.8,80.7,6.55,0,1.7,0
7,1965,70,92,78,85,74.3,88.3,81.3,6.56,0,1.92,0
8,1965,72,90,78,83,75.2,88.2,81.7,4.97,0,1.45,0
9,1965,70,92,78,79,74.5,85.2,79.9,11.38,0,4.12,0
10,1965,62,90,80,76,71.6,84.6,78.1,16.79,0,5.67,0
11,1965,59,85,75,73,67.4,81,74.2,0.96,0,0.41,0
12,1965,49,85,69,71,61,77.5,69.2,0.62,0,0.42,0
1,1966,35,81,72,59,58.5,73.5,66,3.97,0,2.07,0
2,1966,40,82,73,59,61.8,75.9,68.8,6.56,0,4.54,0
3,1966,47,82,74,66,61.3,77.1,69.2,3.25,0,2.07,0
4,1966,57,89,72,74,65.9,79.7,72.8,1.8,0,1.3,0
5,1966,67,88,75,78,71.2,83.9,77.5,5.53,0,2.03,0
6,1966,70,90,78,77,72.4,84,78.2,21.37,0,4.33,0
7,1966,71,94,78,83,74.7,87.4,81,8.5,0,1.68,0
8,1966,72,92,80,83,75.1,88.3,81.7,7.62,0,1.83,0
9,1966,70,93,79,83,74.6,87.7,81.1,8,0,2.02,0
10,1966,65,88,77,80,72,83.8,77.9,10.88,0,3.41,0
11,1966,44,86,74,66,62.2,78.1,70.2,3.84,0,2.52,0
12,1966,41,84,69,68,57.3,75.9,66.6,0.74,0,0.51,0
1,1967,42,86,73,66,63.8,78.9,71.3,2.75,0,0.55,0
2,1967,36,86,72,62,60.1,77.6,68.9,1.14,0,0.46,0
3,1967,53,88,72,73,65.5,80.1,72.8,3.6,0,1.68,0
4,1967,61,89,75,76,67.3,82,74.7,0.15,0,0.15,0
5,1967,67,93,77,79,72,86.5,79.3,1.68,0,1.16,0
6,1967,67,94,78,79,72.3,87.4,79.8,15.98,0,4.74,0
7,1967,72,91,81,86,76.4,88.3,82.3,5.55,0,2.3,0
8,1967,70,91,80,82,75.6,88,81.8,8.13,0,1.79,0
9,1967,72,92,79,80,74.8,87.8,81.3,9.18,0,2.42,0
10,1967,63,87,76,78,70.2,82.2,76.2,12.88,0,3.23,0
11,1967,56,83,71,70,63.8,78.5,71.2,3.81,0,2.27,0
12,1967,47,81,72,68,63.8,76.7,70.3,1.37,0,0.46,0
1,1968,38,80,69,63,58.4,73.8,66.1,1.92,0,0.95,0
2,1968,43,82,66,59,53.6,71.8,62.7,2.77,0,1.07,0
3,1968,37,81,72,57,59.6,74.3,67,0.88,0,0.46,0
4,1968,61,89,75,76,69.1,82.6,75.9,1.27,0,0.77,0
5,1968,65,90,78,76,72.3,82.8,77.5,18.54,0,4.42,0
6,1968,72,91,77,76,74.3,84.8,79.5,22.36,0,3.42,0
7,1968,73,91,80,83,76.1,87.1,81.6,6.15,0,1.25,0
8,1968,74,93,83,84,78.2,89.6,83.9,8.34,0,2.14,0
9,1968,72,93,79,80,75.6,88.7,82.1,11.11,0,2.49,0
10,1968,56,89,79,74,71.6,84,77.8,8.71,0,2.09,0
11,1968,46,86,74,63,62.9,79.1,71,1.21,0,0.78,0
12,1968,34,85,72,61,57.1,76,66.5,0.13,0,0.12,0
1,1969,50,79,71,64,60.7,74.4,67.5,6.66,0,1.4,0
2,1969,44,84,66,63,56.1,74.3,65.2,2.02,0,2.02,0
3,1969,46,87,73,64,60.4,75.2,67.8,1.98,0,0.93,0
4,1969,67,92,77,77,71.8,82.8,77.3,4.63,0,1.63,0
5,1969,70,88,79,81,74,85.1,79.5,8.02,0,2,0
6,1969,70,93,80,81,76.3,88.3,82.3,11.42,0,1.87,0
7,1969,72,96,83,87,77.4,90.7,84,8.48,0,2.7,0
8,1969,73,93,83,86,77.2,89.8,83.5,4.31,0,1.35,0
9,1969,74,92,82,82,77,87.9,82.4,8.24,0,1.5,0
10,1969,68,90,80,77,75.1,85.5,80.3,13.57,0,3.48,0
11,1969,49,87,75,64,62.8,77.9,70.4,1.01,0,0.24,0
12,1969,44,82,74,63,57.3,74.5,65.9,1.15,0,1.09,0
1,1970,35,82,71,51,55.3,72.3,63.8,2.64,0,1.06,0
2,1970,42,81,72,55,57.4,72,64.7,1.77,0,0.93,0
3,1970,48,89,78,63,65.9,77.7,71.8,2.61,0,1.13,0
4,1970,65,90,78,77,72.9,85,79,0.95,0,0.92,0
5,1970,63,89,77,81,73.5,84.7,79.1,10.98,0,3.93,0
6,1970,72,93,79,83,76.1,87.8,82,5.53,0,1.16,0
7,1970,73,91,82,84,77.2,88.2,82.7,4.48,0,1.26,0
8,1970,74,96,82,87,78.5,89.5,84,3.6,0,1.02,0
9,1970,71,90,81,81,77.1,87.2,82.1,8.89,0,3.08,0
10,1970,66,88,80,82,74.1,84.9,79.5,3.01,0,0.66,0
